Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-03-14T15:58:35.983Z","free","auto","No","0","9663","141568","2363","153594","0.06"
"2026-03-08T15:12:06.608Z","free","auto","No","0","11026","51712","670","63408","0.03"
"2026-03-07T16:00:31.076Z","free","auto","No","0","11847","125056","2601","139504","0.06"
"2026-03-07T15:42:22.331Z","free","auto","No","0","14738","125056","6708","146502","0.09"
"2026-03-07T15:20:57.325Z","free","auto","No","0","5683","51840","777","58300","0.02"
"2026-03-07T15:19:37.386Z","free","auto","No","0","10967","49408","2517","62892","0.04"
"2026-03-07T15:18:44.542Z","free","auto","No","0","33789","119296","1040","154125","0.08"
"2026-03-07T15:16:40.990Z","free","auto","No","0","32120","210816","6567","249503","0.13"
"2026-03-07T15:15:09.569Z","free","auto","No","0","4478","68480","730","73688","0.03"
"2026-03-06T15:53:57.066Z","free","auto","No","0","21216","43776","3477","68469","0.06"
"2026-03-03T15:26:30.927Z","free","auto","No","0","3304","31872","1739","36915","0.02"
"2026-03-03T15:22:01.644Z","free","auto","No","0","0","0","0","0","0.00"
"2026-02-16T15:00:48.960Z","Included","auto","No","0","4702","69120","2033","75855","0.04"
"2026-02-16T14:55:32.513Z","Included","auto","No","0","13056","1010688","4298","1028042","0.29"
"2026-02-16T14:54:17.627Z","Included","auto","No","0","1144","71168","1840","74152","0.03"
"2026-02-16T14:39:51.095Z","Included","auto","No","0","60499","1140224","5928","1206651","0.40"
"2026-02-16T14:39:04.917Z","Included","auto","No","0","7323","54272","1764","63359","0.03"
"2026-02-16T14:36:20.576Z","Included","auto","No","0","9727","251392","4306","265425","0.10"
"2026-02-16T14:32:43.639Z","Included","auto","No","0","17433","159744","6158","183335","0.10"
"2026-02-16T14:26:34.135Z","Included","auto","No","0","20055","171520","5830","197405","0.10"
"2026-02-16T08:03:18.134Z","Included","auto","No","0","1912","50176","743","52831","0.02"
"2026-02-16T07:59:27.005Z","Included","auto","No","0","14322","101888","2530","118740","0.06"
"2026-02-16T07:52:39.093Z","Included","auto","No","0","9134","324608","2781","336523","0.11"
"2026-02-16T07:48:29.462Z","Included","auto","No","0","19083","445440","9893","474416","0.19"
"2026-02-16T07:42:19.422Z","Included","auto","No","0","29091","955392","11725","996208","0.35"
"2026-02-16T07:36:56.265Z","Included","auto","No","0","41930","505344","8834","556108","0.23"
"2026-02-16T06:01:55.907Z","Included","auto","No","0","10600","141824","2232","154656","0.06"
"2026-02-16T05:45:30.169Z","Included","auto","No","0","0","0","0","0","0.00"
"2026-02-16T05:45:06.230Z","Included","auto","No","0","0","0","0","0","0.00"
"2026-02-16T05:44:59.201Z","Included","auto","No","0","0","0","0","0","0.00"
"2026-02-16T05:44:41.481Z","Included","auto","No","0","0","0","0","0","0.00"
"2026-02-16T05:44:35.886Z","Included","auto","No","0","0","0","0","0","0.00"
"2026-02-16T05:27:57.204Z","Included","auto","No","0","17985","158720","8111","184816","0.11"
"2026-02-15T10:10:28.873Z","Included","auto","No","10037","0","106001","5731","121769","0.07"
"2026-02-15T10:08:53.927Z","Included","auto","No","6223","0","32522","2839","41584","0.03"
"2026-02-15T10:05:15.626Z","Included","auto","No","5667","4722","164864","3508","178761","0.08"
"2026-02-15T10:01:46.751Z","Included","auto","No","9889","0","388096","3703","401688","0.13"
"2026-02-15T09:58:50.980Z","Included","auto","No","19271","0","260608","6040","285919","0.13"
"2026-02-15T07:34:44.881Z","Included","auto","No","4319","4341","486912","2428","498000","0.15"
"2026-02-15T07:29:24.257Z","Included","auto","No","26113","0","1188352","10140","1224605","0.39"
