Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
2026-07-25T14:04:42.681Z,Included,auto,No,0,39178,3240448,6949,3286575,Included
2026-07-25T13:54:35.391Z,Included,auto,No,0,87189,1932032,19843,2039064,Included
2026-07-25T13:47:07.102Z,Included,auto,No,0,96640,59648,3141,159429,Included
2026-07-24T15:10:18.264Z,Included,auto,No,0,22218,190592,4947,217757,Included
2026-07-24T15:08:36.280Z,Included,auto,No,0,10687,92416,2996,106099,Included
2026-07-24T15:02:27.929Z,Included,auto,No,0,24214,51840,4431,80485,Included
2026-07-24T15:00:49.588Z,Included,auto,No,0,27529,102784,1054,131367,Included
2026-07-21T14:07:16.042Z,Included,auto,No,90676,54,1774427,58494,1923651,Included
2026-07-20T14:05:48.699Z,Included,auto,No,0,173813,11708822,62685,11945320,Included
2026-07-20T09:24:19.059Z,Included,auto,No,0,29896,183493,3527,216916,Included
2026-07-20T09:19:45.956Z,Included,auto,No,0,70327,11776,219,82322,Included
2026-07-20T09:16:14.203Z,Included,auto,No,0,27355,129024,2844,159223,Included
2026-07-20T09:16:00.131Z,Included,auto,No,0,77767,333312,1976,413055,Included
2026-07-20T09:02:45.280Z,Included,auto,No,0,86461,861184,3363,951008,Included
2026-07-20T09:00:43.475Z,Included,auto,No,0,66044,485376,2587,554007,Included
2026-07-19T14:15:53.444Z,Included,auto,No,0,77065,76800,323,154188,Included
2026-07-19T14:09:57.012Z,Included,auto,No,0,74098,1599104,19993,1693195,Included
2026-07-19T13:58:12.227Z,Included,auto,No,0,34697,78592,1627,114916,Included
2026-07-19T13:56:58.700Z,Included,auto,No,0,35822,40192,298,76312,Included
2026-07-19T13:53:30.644Z,Included,auto,No,0,49156,342400,4411,395967,Included
2026-07-19T13:49:32.422Z,Included,auto,No,0,178078,177280,285,355643,Included
2026-07-19T13:42:47.913Z,Included,auto,No,0,19066,1863808,7525,1890399,Included
2026-07-19T13:36:34.682Z,Included,auto,No,0,64972,526848,8954,600774,Included
2026-07-19T13:36:26.977Z,Included,auto,No,0,163980,1347200,6704,1517884,Included
2026-07-19T13:31:29.667Z,Included,auto,No,0,14820,1051136,4794,1070750,Included
2026-07-19T13:21:21.674Z,Included,auto,No,0,127493,591616,5485,724594,Included
2026-07-19T12:48:02.612Z,Included,auto,No,0,314916,1639552,29555,1984023,Included
2026-07-19T12:46:48.166Z,Included,auto,No,0,53082,170496,3559,227137,Included
2026-07-19T12:43:21.878Z,Included,auto,No,0,49650,522880,8825,581355,Included
2026-07-19T12:43:02.893Z,Included,auto,No,0,55069,109696,2750,167515,Included
2026-07-19T12:38:49.579Z,Included,auto,No,0,68692,79616,321,148629,Included
2026-07-19T12:28:54.371Z,Included,auto,No,0,72262,840320,9635,922217,Included
2026-07-19T12:25:12.577Z,Included,auto,No,0,42545,276736,7167,326448,Included
2026-07-18T09:51:52.920Z,Included,auto,No,0,83652,183040,471,267163,Included
2026-07-18T09:46:58.128Z,Included,auto,No,0,85836,643072,4415,733323,Included
2026-07-18T09:44:55.199Z,Included,auto,No,0,10329,393088,3425,406842,Included
2026-07-18T09:43:35.732Z,Included,auto,No,0,3662,116480,1481,121623,Included
2026-07-18T09:42:08.699Z,Included,auto,No,0,11974,253696,2262,267932,Included
2026-07-18T09:37:52.653Z,Included,auto,No,0,11321,229632,3393,244346,Included
2026-07-18T09:33:58.307Z,Included,auto,No,0,37481,238976,4902,281359,Included
2026-07-18T09:33:58.293Z,Included,auto,No,0,69569,540160,5834,615563,Included
2026-07-18T09:33:47.236Z,Included,auto,No,0,28343,92288,2267,122898,Included
2026-07-18T09:28:00.034Z,Included,auto,No,0,67361,74880,375,142616,Included
2026-07-18T09:23:11.295Z,Included,auto,No,0,68739,333312,3307,405358,Included
2026-07-18T09:16:42.725Z,Included,auto,No,0,69744,380416,6367,456527,Included
2026-07-18T09:16:42.370Z,Included,auto,No,0,42337,418944,6196,467477,Included
2026-07-18T09:16:33.785Z,Included,auto,No,0,81835,579072,8280,669187,Included
2026-07-17T14:40:18.369Z,Included,auto,No,0,9902,447872,5667,463441,Included
