Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-08-29T15:13:46.667Z","","","Included","auto","No","0","83758","84224","310","168292","Included"
"2026-08-29T15:01:12.597Z","","","Included","auto","No","0","22358","633600","9824","665782","Included"
"2026-08-29T14:54:37.231Z","","","Included","auto","No","0","55680","125696","451","181827","Included"
"2026-08-29T14:46:48.051Z","","","Included","auto","No","0","2718","104960","274","107952","Included"
"2026-08-29T14:21:23.261Z","","","Included","auto","No","0","53730","81152","2569","137451","Included"
"2026-08-29T14:15:08.114Z","","","Included","auto","No","0","317398","14347008","101896","14766302","Included"
"2026-08-29T14:11:41.743Z","","","Included","auto","No","0","64316","160384","5094","229794","Included"
"2026-08-29T14:08:07.124Z","","","Included","auto","No","0","3390","91264","2811","97465","Included"
"2026-08-29T14:00:11.379Z","","","Included","auto","No","0","72979","342016","6103","421098","Included"
"2026-08-29T14:00:02.223Z","","","Included","auto","No","0","41579","177920","3614","223113","Included"
"2026-08-29T13:25:57.127Z","","","Included","auto","No","0","143400","152960","424","296784","Included"
"2026-08-29T13:05:56.533Z","","","Included","auto","No","0","595","146944","149","147688","Included"
"2026-08-29T12:51:53.419Z","","","Included","auto","No","0","217672","4554880","43901","4816453","Included"
"2026-08-29T12:51:53.414Z","","","Included","auto","No","0","48325","552704","8926","609955","Included"
"2026-08-29T12:50:36.976Z","","","Included","auto","No","0","34881","117376","1959","154216","Included"
"2026-08-29T12:50:27.446Z","","","Included","auto","No","0","13437","836864","3687","853988","Included"
"2026-08-29T12:40:47.656Z","","","Included","auto","No","0","564","133376","120","134060","Included"
"2026-08-29T12:38:24.361Z","","","Included","auto","No","0","18770","985216","4787","1008773","Included"
"2026-08-29T12:31:01.665Z","","","Included","auto","No","0","7671","893696","1892","903259","Included"
"2026-08-29T12:25:19.017Z","","","Included","auto","No","0","40748","155904","2922","199574","Included"
"2026-08-29T12:15:09.944Z","","","Included","auto","No","0","157391","1654016","23564","1834971","Included"
"2026-08-29T12:11:53.033Z","","","Included","auto","No","0","38783","49792","154","88729","Included"
"2026-08-29T12:08:23.381Z","","","Included","auto","No","0","125128","973568","15859","1114555","Included"
"2026-08-29T12:08:23.373Z","","","Included","auto","No","0","64733","409856","7698","482287","Included"
"2026-08-29T12:07:43.843Z","","","Included","auto","No","0","36717","5632","182","42531","Included"
"2026-08-29T12:07:33.029Z","","","Included","auto","No","0","41498","52480","150","94128","Included"
"2026-08-29T12:06:40.849Z","","","Included","auto","No","0","102934","725504","3972","832410","Included"
"2026-08-29T12:06:39.974Z","","","Included","auto","No","0","46503","47232","458","94193","Included"
"2026-08-29T12:06:39.971Z","","","Included","auto","No","0","37045","88832","778","126655","Included"
"2026-08-29T11:23:18.985Z","","","Included","auto","No","0","34904","164096","7807","206807","Included"
"2026-08-29T11:23:18.950Z","","","Included","auto","No","0","40970","239104","5127","285201","Included"
"2026-08-29T11:21:14.549Z","","","Included","auto","No","0","49839","101120","4391","155350","Included"
"2026-08-29T11:17:24.223Z","","","Included","auto","No","0","173814","1249664","15749","1439227","Included"
"2026-08-29T09:42:39.901Z","","","Included","auto","No","0","104696","427392","6337","538425","Included"
"2026-08-29T09:42:29.915Z","","","Included","auto","No","0","10321","138240","4208","152769","Included"
"2026-08-29T09:38:35.306Z","","","Included","auto","No","0","38099","245504","3180","286783","Included"
"2026-08-29T09:38:35.262Z","","","Included","auto","No","0","48891","113280","2681","164852","Included"
"2026-08-29T09:38:33.349Z","","","Included","auto","No","0","52817","90112","2628","145557","Included"
"2026-08-29T09:38:31.511Z","","","Included","auto","No","0","79425","164736","3010","247171","Included"
"2026-08-29T09:38:20.707Z","","","Included","auto","No","0","37084","100608","2903","140595","Included"
"2026-08-29T07:26:25.336Z","","","Included","auto","No","0","55374","11776","647","67797","Included"
"2026-08-28T15:17:29.648Z","","","Included","auto","No","0","13846","326771","462","341079","Included"
"2026-08-28T15:09:43.516Z","","","Included","auto","No","0","15127","1141405","3788","1160320","Included"
"2026-08-28T15:06:47.180Z","","","Included","auto","No","0","148487","163076","773","312336","Included"
"2026-08-28T14:46:30.282Z","","","Included","auto","No","0","145317","772046","1166","918529","Included"
"2026-08-28T14:40:49.438Z","","","Included","auto","No","0","837","148246","233","149316","Included"
"2026-08-28T13:54:34.302Z","","","Included","auto","No","0","513573","20246804","94285","20854662","Included"
"2026-08-28T13:47:55.453Z","","","Included","auto","No","0","32591","105957","3707","142255","Included"
"2026-08-28T13:47:54.224Z","","","Included","auto","No","0","57957","618976","4965","681898","Included"
"2026-08-28T13:47:43.890Z","","","Included","auto","No","0","110667","805081","9990","925738","Included"
"2026-08-28T13:26:04.020Z","","","Included","auto","No","0","45510","68352","1355","115217","Included"
"2026-08-28T13:18:57.176Z","","","Included","auto","No","0","14052","582176","2889","599117","Included"
"2026-08-28T12:54:07.051Z","","","Included","auto","No","0","135135","5822432","40780","5998347","Included"
