Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-08-26T14:46:05.483Z","","","Included","auto","No","0","74938","85504","382","160824","Included"
"2026-08-26T14:38:05.920Z","","","Included","auto","No","0","560","79488","125","80173","Included"
"2026-08-26T14:32:54.907Z","","","Included","auto","No","0","195315","671616","15219","882150","Included"
"2026-08-26T14:26:59.286Z","","","Included","auto","No","0","75874","299136","4557","379567","Included"
"2026-08-26T14:26:56.512Z","","","Included","auto","No","0","40392","108288","2326","151006","Included"
"2026-08-26T14:26:44.292Z","","","Included","auto","No","0","34265","95232","3775","133272","Included"
"2026-08-26T14:11:01.670Z","","","Included","auto","No","0","187761","193536","513","381810","Included"
"2026-08-26T13:57:32.597Z","","","Included","auto","No","0","187630","929792","885","1118307","Included"
"2026-08-25T15:30:03.402Z","","","Included","auto","No","0","140340","1198336","21250","1359926","Included"
"2026-08-25T15:26:13.696Z","","","Included","auto","No","0","108997","499840","9001","617838","Included"
"2026-08-25T15:21:18.479Z","","","Included","auto","No","0","75027","109568","4846","189441","Included"
"2026-08-25T15:11:54.591Z","","","Included","auto","No","0","256351","7015168","50046","7321565","Included"
"2026-08-25T15:07:44.084Z","","","Included","auto","No","0","106172","293632","4620","404424","Included"
"2026-08-25T15:07:30.188Z","","","Included","auto","No","0","13689","177920","5778","197387","Included"
"2026-08-25T15:03:28.258Z","","","Included","auto","No","0","78848","156544","4423","239815","Included"
"2026-08-25T15:03:27.046Z","","","Included","auto","No","0","42797","217984","3695","264476","Included"
"2026-08-25T15:03:16.224Z","","","Included","auto","No","0","33137","127744","2365","163246","Included"
"2026-08-25T14:48:53.118Z","","","Included","auto","No","0","166057","175872","287","342216","Included"
"2026-08-25T14:40:43.752Z","","","Included","auto","No","0","732","169600","204","170536","Included"
"2026-08-25T14:17:24.832Z","","","Included","auto","No","0","471075","7087744","53117","7611936","Included"
"2026-08-25T14:16:01.083Z","","","Included","auto","No","0","70947","512","436","71895","Included"
"2026-08-25T14:12:25.089Z","","","Included","auto","No","0","194101","94080","5209","293390","Included"
"2026-08-25T14:12:24.773Z","","","Included","auto","No","0","118278","437504","6736","562518","Included"
"2026-08-25T14:12:12.488Z","","","Included","auto","No","0","61460","308992","5601","376053","Included"
"2026-08-23T15:36:38.188Z","","","Included","auto","No","0","128802","78720","495","208017","Included"
"2026-08-23T15:24:51.266Z","","","Included","auto","No","0","414140","746496","9558","1170194","Included"
"2026-08-23T15:22:31.656Z","","","Included","auto","No","0","29782","117248","2038","149068","Included"
"2026-08-23T15:19:28.424Z","","","Included","auto","No","0","110407","120704","269","231380","Included"
"2026-08-23T14:59:14.830Z","","","Included","auto","No","0","416067","2529664","27140","2972871","Included"
"2026-08-23T14:48:24.703Z","","","Included","auto","No","0","155610","115840","3796","275246","Included"
"2026-08-23T14:48:24.309Z","","","Included","auto","No","0","44147","93184","2645","139976","Included"
"2026-08-23T14:48:10.673Z","","","Included","auto","No","0","37386","164736","4317","206439","Included"
"2026-08-22T15:32:12.040Z","","","Included","auto","No","0","97713","106496","308","204517","Included"
"2026-08-22T15:29:45.721Z","","","Included","auto","No","0","8388","570496","2915","581799","Included"
"2026-08-22T15:24:50.144Z","","","Included","auto","No","0","19185","675200","2831","697216","Included"
"2026-08-22T15:18:20.840Z","","","Included","auto","No","0","73416","940800","9645","1023861","Included"
"2026-08-22T15:15:28.877Z","","","Included","auto","No","0","37506","126720","4765","168991","Included"
"2026-08-22T15:15:19.165Z","","","Included","auto","No","0","34993","88192","4619","127804","Included"
"2026-08-22T14:53:23.573Z","","","Included","auto","No","0","75343","87552","276","163171","Included"
"2026-08-22T14:40:52.096Z","","","Included","auto","No","0","75876","1031296","10548","1117720","Included"
"2026-08-22T14:38:51.944Z","","","Included","auto","No","0","133979","135552","248","269779","Included"
"2026-08-22T14:27:49.649Z","","","Included","auto","No","0","19361","1141632","9363","1170356","Included"
"2026-08-22T14:10:03.533Z","","","Included","auto","No","0","211097","2128640","30611","2370348","Included"
"2026-08-22T14:06:02.396Z","","","Included","auto","No","0","58939","184064","3935","246938","Included"
"2026-08-22T14:06:00.989Z","","","Included","auto","No","0","49640","177664","4048","231352","Included"
"2026-08-22T14:05:49.031Z","","","Included","auto","No","0","50328","234496","6543","291367","Included"
