Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-08-25T15:30:03.402Z","","","Included","auto","No","0","140340","1198336","21250","1359926","Included"
"2026-08-25T15:26:13.696Z","","","Included","auto","No","0","108997","499840","9001","617838","Included"
"2026-08-25T15:21:18.479Z","","","Included","auto","No","0","75027","109568","4846","189441","Included"
"2026-08-25T15:11:54.591Z","","","Included","auto","No","0","256351","7015168","50046","7321565","Included"
"2026-08-25T15:07:44.084Z","","","Included","auto","No","0","106172","293632","4620","404424","Included"
"2026-08-25T15:07:30.188Z","","","Included","auto","No","0","13689","177920","5778","197387","Included"
"2026-08-25T15:03:28.258Z","","","Included","auto","No","0","78848","156544","4423","239815","Included"
"2026-08-25T15:03:27.046Z","","","Included","auto","No","0","42797","217984","3695","264476","Included"
"2026-08-25T15:03:16.224Z","","","Included","auto","No","0","33137","127744","2365","163246","Included"
"2026-08-25T14:48:53.118Z","","","Included","auto","No","0","166057","175872","287","342216","Included"
"2026-08-25T14:40:43.752Z","","","Included","auto","No","0","732","169600","204","170536","Included"
"2026-08-25T14:17:24.832Z","","","Included","auto","No","0","471075","7087744","53117","7611936","Included"
"2026-08-25T14:16:01.083Z","","","Included","auto","No","0","70947","512","436","71895","Included"
"2026-08-25T14:12:25.089Z","","","Included","auto","No","0","194101","94080","5209","293390","Included"
"2026-08-25T14:12:24.773Z","","","Included","auto","No","0","118278","437504","6736","562518","Included"
"2026-08-25T14:12:12.488Z","","","Included","auto","No","0","61460","308992","5601","376053","Included"
