Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-08-11T15:38:45.908Z","","","Included","auto","No","0","40310","60800","1073","102183","Included"
"2026-08-11T15:22:16.113Z","","","Included","auto","No","0","110134","1430016","14757","1554907","Included"
"2026-08-11T15:21:18.511Z","","","Included","auto","No","0","285963","2466432","20033","2772428","Included"
"2026-08-11T15:04:16.768Z","","","Included","auto","No","0","79116","531840","7653","618609","Included"
"2026-08-11T15:04:01.866Z","","","Included","auto","No","0","138080","1848320","18732","2005132","Included"
"2026-08-11T14:52:57.070Z","","","Included","auto","No","0","74103","1192448","15757","1282308","Included"
"2026-08-11T14:50:01.780Z","","","Included","auto","No","0","63111","438400","6254","507765","Included"
"2026-08-11T14:49:52.574Z","","","Included","auto","No","0","78217","73856","3086","155159","Included"
"2026-08-11T14:44:15.102Z","","","Included","auto","No","0","73451","435712","6825","515988","Included"
"2026-08-11T14:44:14.996Z","","","Included","auto","No","0","98191","317824","6678","422693","Included"
"2026-08-11T14:43:52.471Z","","","Included","auto","No","0","24850","57216","1601","83667","Included"
"2026-08-09T15:11:16.156Z","","","Included","auto","No","96460","3","0","107","96570","Included"
"2026-08-09T15:02:58.032Z","","","Included","auto","No","17837","15","416292","1766","435910","Included"
"2026-08-09T14:56:56.992Z","","","Included","auto","No","78942","45","945886","5607","1030480","Included"
"2026-08-09T14:56:19.510Z","","","Included","auto","No","3982","9","161283","1747","167021","Included"
"2026-08-09T14:51:42.204Z","","","Included","auto","No","94119","42","965694","4847","1064702","Included"
"2026-08-09T14:51:35.282Z","","","Included","auto","No","52421","33","436047","3446","491947","Included"
"2026-08-09T14:50:13.500Z","","","Included","auto","No","105194","3","0","139","105336","Included"
"2026-08-09T14:42:03.440Z","","","Included","auto","No","127610","42","1098469","6786","1232907","Included"
"2026-08-09T14:41:56.230Z","","","Included","auto","No","105804","93","2330084","10430","2446411","Included"
"2026-08-09T14:39:54.236Z","","","Included","auto","No","123618","6","123138","273","247035","Included"
"2026-08-09T14:36:24.537Z","","","Included","auto","No","8089","9","351302","3298","362698","Included"
"2026-08-09T14:25:56.344Z","","","Included","auto","No","22706","57","1996736","6786","2026285","Included"
"2026-08-09T14:20:25.986Z","","","Included","auto","No","91099","51","1261594","6612","1359356","Included"
"2026-08-09T14:19:44.641Z","","","Included","auto","No","2219","3","66833","142","69197","Included"
"2026-08-09T14:19:37.735Z","","","Included","auto","No","4540","3","62293","82","66918","Included"
"2026-08-09T14:17:56.268Z","","","Included","auto","No","103031","39","822856","5470","931396","Included"
"2026-08-09T14:17:55.879Z","","","Included","auto","No","121458","39","920894","7658","1050049","Included"
"2026-08-09T14:17:55.745Z","","","Included","auto","No","72942","27","405559","4431","482959","Included"
"2026-08-09T14:17:44.587Z","","","Included","auto","No","62293","21","267683","3171","333168","Included"
"2026-08-09T13:50:55.901Z","","","Included","auto","No","110036","6","109108","443","219593","Included"
"2026-08-07T15:06:33.270Z","","","Included","auto","No","0","98626","1691392","20954","1810972","Included"
"2026-08-07T15:00:30.821Z","","","Included","auto","No","0","73974","311552","4430","389956","Included"
"2026-08-07T15:00:30.808Z","","","Included","auto","No","0","253395","207744","6041","467180","Included"
"2026-08-07T15:00:19.499Z","","","Included","auto","No","0","173051","247936","9586","430573","Included"
"2026-08-07T14:59:37.142Z","","","Included","auto","No","0","45804","156544","1943","204291","Included"
"2026-08-07T14:59:28.846Z","","","Included","auto","No","0","23511","896","448","24855","Included"
"2026-08-07T14:48:41.302Z","","","Included","auto","No","0","69726","243200","1763","314689","Included"
"2026-08-06T15:11:51.717Z","","","Included","auto","No","0","24640","61824","2484","88948","Included"
"2026-08-06T15:06:57.909Z","","","Included","auto","No","0","26415","101504","4627","132546","Included"
"2026-08-06T15:01:40.459Z","","","Included","auto","No","0","27852","146688","2727","177267","Included"
"2026-08-06T14:59:48.730Z","","","Included","auto","No","0","29487","125696","2962","158145","Included"
"2026-08-06T14:58:24.328Z","","","Included","auto","No","0","25408","61056","1671","88135","Included"
"2026-08-06T14:51:29.383Z","","","Included","auto","No","0","24741","37760","2391","64892","Included"
