Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-06-24T15:25:36.649Z","","","Included","auto","No","0","27494","212945","3493","243932","Included"
"2026-06-24T15:16:02.358Z","","","Included","auto","No","0","37506","237390","4858","279754","Included"
"2026-06-24T15:14:59.125Z","","","Included","auto","No","0","27585","140788","2119","170492","Included"
"2026-06-24T15:05:40.027Z","","","Included","auto","No","0","25524","343443","1921","370888","Included"
"2026-06-24T15:01:46.326Z","","","Included","auto","No","0","160040","175706","636","336382","Included"
"2026-06-24T14:44:25.327Z","","","Included","auto","No","0","157054","5488293","39309","5684656","Included"
"2026-06-24T14:41:11.138Z","","","Included","auto","No","0","15498","400697","6929","423124","Included"
"2026-06-24T14:39:07.960Z","","","Included","auto","No","0","10291","223716","3432","237439","Included"
"2026-06-24T14:32:28.844Z","","","Included","auto","No","0","43096","387819","6416","437331","Included"
"2026-06-24T14:32:18.224Z","","","Included","auto","No","0","43567","407228","7173","457968","Included"
"2026-06-24T14:18:30.716Z","","","Included","auto","No","0","11242","95704","510","107456","Included"
"2026-06-24T14:14:01.852Z","","","Included","auto","No","0","42082","288451","1626","332159","Included"
"2026-06-24T14:10:56.149Z","","","Included","auto","No","0","35838","344559","4080","384477","Included"
"2026-06-23T15:48:42.692Z","","","Included","auto","No","0","74627","170566","826","246019","Included"
"2026-06-23T15:42:00.741Z","","","Included","auto","No","0","71751","767562","9448","848761","Included"
"2026-06-23T15:33:05.109Z","","","Included","auto","No","0","31959","214428","4450","250837","Included"
"2026-06-23T15:33:02.539Z","","","Included","auto","No","0","49207","447120","7508","503835","Included"
"2026-06-23T15:32:22.660Z","","","Included","auto","No","0","48039","541648","11323","601010","Included"
"2026-06-21T15:42:27.441Z","","","Included","auto","No","0","64896","146912","814","212622","Included"
"2026-06-21T15:34:41.580Z","","","Included","auto","No","0","161508","751136","5770","918414","Included"
"2026-06-21T15:32:01.996Z","","","Included","auto","No","0","129463","183680","7549","320692","Included"
"2026-06-21T15:29:37.049Z","","","Included","auto","No","0","79843","177376","730","257949","Included"
"2026-06-21T15:16:03.029Z","","","Included","auto","No","0","135825","1183488","7350","1326663","Included"
"2026-06-21T15:13:18.376Z","","","Included","auto","No","0","129556","276544","7004","413104","Included"
"2026-06-21T14:42:38.882Z","","","Included","auto","No","0","90788","391232","1143","483163","Included"
"2026-06-21T14:37:41.238Z","","","Included","auto","No","0","81965","1155104","8768","1245837","Included"
"2026-06-21T14:33:55.252Z","","","Included","auto","No","0","151706","856512","11793","1020011","Included"
"2026-06-21T14:29:46.861Z","","","Included","auto","No","0","12751","6464","78","19293","Included"
"2026-06-21T14:26:35.167Z","","","Included","auto","No","0","59169","141423","611","201203","Included"
"2026-06-21T14:13:22.364Z","","","Included","auto","No","0","50827","338577","2127","391531","Included"
"2026-06-21T14:05:54.759Z","","","Included","auto","No","0","50809","528160","6563","585532","Included"
"2026-06-21T14:05:53.336Z","","","Included","auto","No","0","35240","335596","5476","376312","Included"
"2026-06-21T14:05:48.310Z","","","Included","auto","No","0","50687","669394","10908","730989","Included"
"2026-06-19T15:44:26.728Z","","","Included","auto","No","0","57429","181782","1787","240998","Included"
"2026-06-19T15:37:08.851Z","","","Included","auto","No","0","21886","139477","565","161928","Included"
"2026-06-19T15:31:48.893Z","","","Included","auto","No","0","21778","929453","9560","960791","Included"
"2026-06-19T15:25:44.833Z","","","Included","auto","No","0","51466","184248","1132","236846","Included"
"2026-06-19T15:19:45.271Z","","","Included","auto","No","0","51657","1079270","8891","1139818","Included"
"2026-06-19T14:45:23.596Z","","","Included","auto","No","0","46744","976654","8054","1031452","Included"
"2026-06-19T14:03:14.893Z","","","Included","auto","No","0","85060","2107008","15704","2207772","Included"
"2026-06-19T13:57:06.113Z","","","Included","auto","No","0","44505","476531","6488","527524","Included"
"2026-06-19T13:57:04.224Z","","","Included","auto","No","0","41093","416110","5783","462986","Included"
"2026-06-19T13:56:55.559Z","","","Included","auto","No","0","41849","417760","7307","466916","Included"
