Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-06-12T15:59:04.024Z","","","Included","auto","No","0","35026","146816","4338","186180","Included"
"2026-06-12T15:46:46.344Z","","","Included","auto","No","0","29828","163449","1218","194495","Included"
"2026-06-12T15:44:08.810Z","","","Included","auto","No","0","144321","457280","771","602372","Included"
"2026-06-12T15:36:28.996Z","","","Included","auto","No","0","31814","2034417","16907","2083138","Included"
"2026-06-12T15:30:37.528Z","","","Included","auto","No","0","111706","2321661","23207","2456574","Included"
"2026-06-12T15:26:01.936Z","","","Included","auto","No","0","12774","276451","6227","295452","Included"
"2026-06-12T15:21:03.255Z","","","Included","auto","No","0","56862","884544","9145","950551","Included"
"2026-06-12T15:08:42.186Z","","","Included","auto","No","0","53713","708765","6680","769158","Included"
"2026-06-12T15:05:04.356Z","","","Included","auto","No","0","53704","241824","938","296466","Included"
"2026-06-12T15:04:26.950Z","","","Included","auto","No","0","48884","8928","180","57992","Included"
"2026-06-12T14:55:06.092Z","","","Included","auto","No","0","50630","614237","6767","671634","Included"
"2026-06-12T14:26:31.954Z","","","Included","auto","No","0","1745","64495","531","66771","Included"
"2026-06-12T14:16:19.034Z","","","Included","auto","No","0","25529","200611","2971","229111","Included"
"2026-06-12T13:59:01.458Z","","","Included","auto","No","0","75014","255107","890","331011","Included"
"2026-06-12T13:09:43.423Z","","","Included","auto","No","0","73133","789479","12710","875322","Included"
"2026-06-12T13:06:36.588Z","","","Included","auto","No","0","77380","374405","4992","456777","Included"
"2026-06-12T13:06:31.254Z","","","Included","auto","No","0","47438","464124","6793","518355","Included"
"2026-06-12T12:46:36.626Z","","","Included","auto","No","0","28446","1193702","11441","1233589","Included"
"2026-06-12T12:44:04.434Z","","","Included","auto","No","0","101369","640637","7217","749223","Included"
"2026-06-12T12:40:25.958Z","","","Included","auto","No","0","36186","277667","7992","321845","Included"
"2026-06-12T12:31:21.476Z","","","Included","auto","No","0","526","95168","308","96002","Included"
"2026-06-12T12:29:40.816Z","","","Included","auto","No","0","1064","234784","565","236413","Included"
"2026-06-12T12:27:51.433Z","","","Included","auto","No","0","1186","229632","670","231488","Included"
"2026-06-12T12:27:39.080Z","","","Included","auto","No","0","674","90016","291","90981","Included"
"2026-06-12T12:23:57.616Z","","","Included","auto","No","0","4483","258400","1111","263994","Included"
"2026-06-12T12:20:07.790Z","","","Included","auto","No","0","31793","609792","4878","646463","Included"
"2026-06-12T09:07:40.920Z","","","Included","auto","No","0","747","54508","341","55596","Included"
"2026-06-12T09:06:05.451Z","","","Included","auto","No","0","7232","189110","2462","198804","Included"
"2026-06-12T09:04:32.471Z","","","Included","auto","No","0","1287","37528","533","39348","Included"
"2026-06-12T08:59:58.456Z","","","Included","auto","No","0","16683","3853172","5842","3875697","Included"
