Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-06-19T15:44:26.728Z","","","Included","auto","No","0","57429","181782","1787","240998","Included"
"2026-06-19T15:37:08.851Z","","","Included","auto","No","0","21886","139477","565","161928","Included"
"2026-06-19T15:31:48.893Z","","","Included","auto","No","0","21778","929453","9560","960791","Included"
"2026-06-19T15:25:44.833Z","","","Included","auto","No","0","51466","184248","1132","236846","Included"
"2026-06-19T15:19:45.271Z","","","Included","auto","No","0","51657","1079270","8891","1139818","Included"
"2026-06-19T14:45:23.596Z","","","Included","auto","No","0","46744","976654","8054","1031452","Included"
"2026-06-19T14:03:14.893Z","","","Included","auto","No","0","85060","2107008","15704","2207772","Included"
"2026-06-19T13:57:06.113Z","","","Included","auto","No","0","44505","476531","6488","527524","Included"
"2026-06-19T13:57:04.224Z","","","Included","auto","No","0","41093","416110","5783","462986","Included"
"2026-06-19T13:56:55.559Z","","","Included","auto","No","0","41849","417760","7307","466916","Included"
"2026-06-17T15:39:29.720Z","","","Included","auto","No","0","9454","389955","2324","401733","Included"
"2026-06-17T15:25:25.147Z","","","Included","auto","No","0","86182","1841116","19043","1946341","Included"
"2026-06-17T15:19:38.582Z","","","Included","auto","No","0","72418","383302","6009","461729","Included"
"2026-06-17T15:19:36.828Z","","","Included","auto","No","0","32326","201109","4102","237537","Included"
"2026-06-17T15:19:31.376Z","","","Included","auto","No","0","36845","285022","6087","327954","Included"
"2026-06-16T15:41:39.171Z","","","Included","auto","No","0","49496","590694","8822","649012","Included"
"2026-06-16T15:25:02.299Z","","","Included","auto","No","0","186200","1711192","12701","1910093","Included"
"2026-06-16T15:08:36.622Z","","","Included","auto","No","0","53235","1281536","8632","1343403","Included"
"2026-06-16T15:03:31.378Z","","","Included","auto","No","0","53768","339328","2713","395809","Included"
"2026-06-16T15:03:31.324Z","","","Included","auto","No","0","35047","87936","1952","124935","Included"
"2026-06-16T15:03:21.236Z","","","Included","auto","No","0","16157","58752","2022","76931","Included"
"2026-06-16T14:24:24.918Z","","","Included","auto","No","0","36617","3937751","10748","3985116","Included"
"2026-06-16T14:22:10.689Z","","","Included","auto","No","0","30928","2222017","8998","2261943","Included"
"2026-06-16T14:21:04.799Z","","","Included","auto","No","0","558","152068","214","152840","Included"
"2026-06-16T14:20:33.228Z","","","Included","auto","No","0","1000","225587","360","226947","Included"
"2026-06-16T14:19:52.775Z","","","Included","auto","No","0","1384","297461","341","299186","Included"
"2026-06-16T14:19:26.980Z","","","Included","auto","No","0","380","73147","175","73702","Included"
"2026-06-16T14:17:22.976Z","","","Included","auto","No","0","66660","510996","1144","578800","Included"
"2026-06-16T14:11:02.379Z","","","Included","auto","No","0","61894","1461019","11760","1534673","Included"
"2026-06-14T15:53:40.047Z","","","Included","auto","No","0","57089","421280","4059","482428","Included"
"2026-06-14T15:41:08.595Z","","","Included","auto","No","0","16356","1322080","10265","1348701","Included"
"2026-06-14T15:37:11.555Z","","","Included","auto","No","0","2653","430496","2906","436055","Included"
"2026-06-14T15:35:18.308Z","","","Included","auto","No","0","13685","579840","6416","599941","Included"
"2026-06-14T15:32:05.502Z","","","Included","auto","No","0","33659","434112","6320","474091","Included"
"2026-06-14T14:42:42.590Z","","","Included","auto","No","0","112173","260352","7159","379684","Included"
"2026-06-14T14:34:25.999Z","","","Included","auto","No","0","584","111392","249","112225","Included"
"2026-06-14T14:28:15.236Z","","","Included","auto","No","0","24513","2214848","4701","2244062","Included"
"2026-06-14T14:23:18.554Z","","","Included","auto","No","0","78396","1284896","18645","1381937","Included"
"2026-06-14T14:20:28.810Z","","","Included","auto","No","0","38519","356575","7102","402196","Included"
"2026-06-14T14:20:24.725Z","","","Included","auto","No","0","39061","335136","7625","381822","Included"
"2026-06-14T14:07:15.242Z","","","Included","auto","No","0","45042","431793","8114","484949","Included"
"2026-06-14T13:54:29.820Z","","","Included","auto","No","0","98733","2087624","24371","2210728","Included"
"2026-06-14T13:50:09.087Z","","","Included","auto","No","0","29533","276320","4490","310343","Included"
"2026-06-14T13:50:08.638Z","","","Included","auto","No","0","47034","432199","5622","484855","Included"
"2026-06-14T13:50:05.000Z","","","Included","auto","No","0","37449","358756","7578","403783","Included"
"2026-06-14T13:33:41.597Z","","","Included","auto","No","0","9278","78976","941","89195","Included"
"2026-06-14T13:19:18.187Z","","","Included","auto","No","0","86629","1117344","13386","1217359","Included"
"2026-06-14T13:17:34.035Z","","","Included","auto","No","0","23427","128876","1637","153940","Included"
"2026-06-14T12:58:13.836Z","","","Included","auto","No","0","275181","10613112","48379","10936672","Included"
"2026-06-14T12:56:51.256Z","","","Included","auto","No","0","14820","148242","6159","169221","Included"
"2026-06-14T12:51:52.329Z","","","Included","auto","No","0","53705","462016","7137","522858","Included"
"2026-06-14T12:51:51.396Z","","","Included","auto","No","0","43529","529376","5676","578581","Included"
"2026-06-14T12:51:46.825Z","","","Included","auto","No","0","39620","372502","8084","420206","Included"
