Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-06-25T16:09:35.384Z","","","Included","auto","No","0","29313","156864","1603","187780","Included"
"2026-06-25T16:08:55.787Z","","","Included","auto","No","0","61376","6484","275","68135","Included"
"2026-06-25T16:05:30.714Z","","","Included","auto","No","0","82064","186504","923","269491","Included"
"2026-06-25T16:00:01.776Z","","","Included","auto","No","0","79664","1632587","10748","1722999","Included"
"2026-06-25T15:53:56.675Z","","","Included","auto","No","0","46818","471202","7866","525886","Included"
"2026-06-25T15:53:55.663Z","","","Included","auto","No","0","43657","407186","5145","455988","Included"
"2026-06-25T15:53:49.049Z","","","Included","auto","No","0","46042","426410","8302","480754","Included"
"2026-06-25T15:50:11.912Z","","","Included","auto","No","0","50745","240562","871","292178","Included"
"2026-06-25T15:47:24.869Z","","","Included","auto","No","0","46477","372146","4015","422638","Included"
"2026-06-25T15:43:57.604Z","","","Included","auto","No","0","43518","326056","6361","375935","Included"
"2026-06-25T15:43:38.649Z","","","Included","auto","No","0","34290","445772","4247","484309","Included"
"2026-06-25T15:40:28.444Z","","","Included","auto","No","0","59124","141000","900","201024","Included"
"2026-06-25T15:36:48.764Z","","","Included","auto","No","0","12696","813005","3438","829139","Included"
"2026-06-25T15:33:48.164Z","","","Included","auto","No","0","46945","510767","4810","562522","Included"
"2026-06-25T15:29:46.670Z","","","Included","auto","No","0","34096","362207","5355","401658","Included"
"2026-06-25T15:25:36.235Z","","","Included","auto","No","0","182408","308782","1395","492585","Included"
"2026-06-25T15:23:21.525Z","","","Included","auto","No","0","16801","1212841","4688","1234330","Included"
"2026-06-25T15:16:30.870Z","","","Included","auto","No","0","39565","2254990","8264","2302819","Included"
"2026-06-25T15:14:15.277Z","","","Included","auto","No","0","71306","874877","5248","951431","Included"
"2026-06-25T14:57:00.928Z","","","Included","auto","No","0","117569","3265553","23152","3406274","Included"
"2026-06-25T14:45:42.849Z","","","Included","auto","No","0","43463","409485","5320","458268","Included"
"2026-06-25T14:45:32.746Z","","","Included","auto","No","0","57592","529765","9549","596906","Included"
"2026-06-24T15:25:36.649Z","","","Included","auto","No","0","27494","212945","3493","243932","Included"
"2026-06-24T15:16:02.358Z","","","Included","auto","No","0","37506","237390","4858","279754","Included"
"2026-06-24T15:14:59.125Z","","","Included","auto","No","0","27585","140788","2119","170492","Included"
"2026-06-24T15:05:40.027Z","","","Included","auto","No","0","25524","343443","1921","370888","Included"
"2026-06-24T15:01:46.326Z","","","Included","auto","No","0","160040","175706","636","336382","Included"
"2026-06-24T14:44:25.327Z","","","Included","auto","No","0","157054","5488293","39309","5684656","Included"
"2026-06-24T14:41:11.138Z","","","Included","auto","No","0","15498","400697","6929","423124","Included"
"2026-06-24T14:39:07.960Z","","","Included","auto","No","0","10291","223716","3432","237439","Included"
"2026-06-24T14:32:28.844Z","","","Included","auto","No","0","43096","387819","6416","437331","Included"
"2026-06-24T14:32:18.224Z","","","Included","auto","No","0","43567","407228","7173","457968","Included"
"2026-06-24T14:18:30.716Z","","","Included","auto","No","0","11242","95704","510","107456","Included"
"2026-06-24T14:14:01.852Z","","","Included","auto","No","0","42082","288451","1626","332159","Included"
"2026-06-24T14:10:56.149Z","","","Included","auto","No","0","35838","344559","4080","384477","Included"
"2026-06-23T15:48:42.692Z","","","Included","auto","No","0","74627","170566","826","246019","Included"
"2026-06-23T15:42:00.741Z","","","Included","auto","No","0","71751","767562","9448","848761","Included"
"2026-06-23T15:33:05.109Z","","","Included","auto","No","0","31959","214428","4450","250837","Included"
"2026-06-23T15:33:02.539Z","","","Included","auto","No","0","49207","447120","7508","503835","Included"
"2026-06-23T15:32:22.660Z","","","Included","auto","No","0","48039","541648","11323","601010","Included"
"2026-06-21T15:42:27.441Z","","","Included","auto","No","0","64896","146912","814","212622","Included"
"2026-06-21T15:34:41.580Z","","","Included","auto","No","0","161508","751136","5770","918414","Included"
"2026-06-21T15:32:01.996Z","","","Included","auto","No","0","129463","183680","7549","320692","Included"
"2026-06-21T15:29:37.049Z","","","Included","auto","No","0","79843","177376","730","257949","Included"
"2026-06-21T15:16:03.029Z","","","Included","auto","No","0","135825","1183488","7350","1326663","Included"
"2026-06-21T15:13:18.376Z","","","Included","auto","No","0","129556","276544","7004","413104","Included"
"2026-06-21T14:42:38.882Z","","","Included","auto","No","0","90788","391232","1143","483163","Included"
"2026-06-21T14:37:41.238Z","","","Included","auto","No","0","81965","1155104","8768","1245837","Included"
"2026-06-21T14:33:55.252Z","","","Included","auto","No","0","151706","856512","11793","1020011","Included"
"2026-06-21T14:29:46.861Z","","","Included","auto","No","0","12751","6464","78","19293","Included"
"2026-06-21T14:26:35.167Z","","","Included","auto","No","0","59169","141423","611","201203","Included"
"2026-06-21T14:13:22.364Z","","","Included","auto","No","0","50827","338577","2127","391531","Included"
"2026-06-21T14:05:54.759Z","","","Included","auto","No","0","50809","528160","6563","585532","Included"
"2026-06-21T14:05:53.336Z","","","Included","auto","No","0","35240","335596","5476","376312","Included"
"2026-06-21T14:05:48.310Z","","","Included","auto","No","0","50687","669394","10908","730989","Included"
