Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-10-05T16:03:50.752Z","Included","auto","No","0","903","0","43","946","0.001"
"2025-10-05T15:59:34.648Z","Included","auto","No","0","702","1024","16","1742","0.001"
"2025-10-05T15:59:22.780Z","Included","auto","No","0","1236","0","26","1262","0.002"
"2025-10-05T15:59:08.959Z","Included","auto","No","0","1161","0","8","1169","0.001"
"2025-10-05T15:58:25.881Z","Included","auto","No","0","1221","0","12","1233","0.002"
"2025-10-05T15:56:49.946Z","Included","auto","No","0","1029","0","30","1059","0.001"
"2025-10-05T15:55:27.041Z","Included","auto","No","0","895","0","41","936","0.001"
"2025-10-05T15:48:03.234Z","Included","auto","No","51841","0","259858","8136","319835","0.18"
"2025-10-05T15:47:01.654Z","Included","auto","No","15458","0","311802","5239","332499","0.13"
"2025-10-05T15:46:41.438Z","Included","auto","No","18065","0","377505","4602","400172","0.14"
"2025-10-05T15:46:17.910Z","Included","auto","No","31805","0","414266","4675","450746","0.17"
"2025-10-05T15:31:36.235Z","Included","auto","No","60080","0","1160367","8462","1228909","0.42"
"2025-10-05T15:28:08.998Z","Included","auto","No","52481","0","386487","3571","442539","0.18"
"2025-10-05T14:36:34.843Z","Included","auto","No","13279","58610","1331551","4592","1408032","0.45"
"2025-10-05T14:34:43.956Z","Included","auto","No","49356","0","282244","557","332157","0.14"
"2025-10-05T14:08:43.659Z","Included","auto","No","6392","0","53250","2193","61835","0.03"
"2025-10-05T14:03:03.215Z","Included","auto","No","9458","0","139666","2785","151909","0.06"
"2025-10-05T12:02:21.071Z","Included","auto","No","0","2884","0","10","2894","0.004"
"2025-10-05T12:01:14.056Z","Included","auto","No","0","1789","0","10","1799","0.002"
"2025-10-04T14:23:27.170Z","Included","auto","No","4657","0","22054","506","27217","0.01"
"2025-10-04T14:18:09.936Z","Included","auto","No","3931","0","21382","384","25697","0.01"
"2025-10-04T14:17:47.059Z","Included","auto","No","2771","0","20498","221","23490","0.01"
"2025-10-04T14:17:21.427Z","Included","auto","No","2341","5092","26743","324","34500","0.02"
"2025-10-04T14:16:26.654Z","Included","auto","No","5346","0","39070","1345","45761","0.02"
"2025-10-04T14:06:07.416Z","Included","auto","No","6512","0","86064","2579","95155","0.05"
"2025-10-04T12:55:36.524Z","Included","auto","No","814","0","18391","416","19621","0.01"
"2025-10-04T12:54:24.070Z","Included","auto","No","855","4397","24438","196","29886","0.01"
"2025-10-04T12:52:00.813Z","Included","auto","No","4806","0","18762","327","23895","0.01"
"2025-10-04T10:24:36.035Z","Included","auto","No","0","3560","0","12","3572","0.005"
"2025-10-04T10:23:46.363Z","Included","auto","No","0","2412","0","12","2424","0.003"
"2025-10-04T10:22:25.382Z","Included","auto","No","0","1128","0","12","1140","0.001"
"2025-10-04T10:22:13.436Z","Included","auto","No","0","1026","0","10","1036","0.001"
"2025-10-02T14:29:11.290Z","Included","auto","No","0","1666","0","25","1691","0.002"
